"flow_id,""device"",""date"",""flow"""
"5692247,""202035132"",""2024-10-03 03:44:51+01"",""0.440"""
"5692248,""202035132"",""2024-10-03 03:29:51+01"",""0.560"""
"5692249,""202035132"",""2024-10-03 03:14:51+01"",""0.480"""
"5692250,""202035132"",""2024-10-03 02:59:51+01"",""0.920"""
"5692251,""202035132"",""2024-10-03 02:44:51+01"",""5.080"""
"5692252,""202035132"",""2024-10-03 02:29:51+01"",""4.560"""
"5692253,""202035132"",""2024-10-03 02:14:51+01"",""3.920"""
"5692254,""202035132"",""2024-10-03 01:59:51+01"",""0.560"""
"5692255,""202035132"",""2024-10-03 01:44:51+01"",""0.440"""
"5692256,""202035132"",""2024-10-03 01:29:51+01"",""0.720"""
"5692257,""202035132"",""2024-10-03 01:14:51+01"",""0.920"""
"5692258,""202035132"",""2024-10-03 00:59:51+01"",""0.680"""
"5692259,""202035132"",""2024-10-03 00:44:51+01"",""0.920"""
"5692260,""202035132"",""2024-10-03 00:29:51+01"",""1.240"""
"5692261,""202035132"",""2024-10-03 00:14:51+01"",""1.640"""
"5688709,""202035132"",""2024-10-02 23:59:51+01"",""2.640"""
"5688710,""202035132"",""2024-10-02 23:44:51+01"",""3.040"""
"5688711,""202035132"",""2024-10-02 23:29:51+01"",""3.360"""
"5688712,""202035132"",""2024-10-02 23:14:51+01"",""4.160"""
"5688713,""202035132"",""2024-10-02 22:59:51+01"",""4.200"""
"5688714,""202035132"",""2024-10-02 22:44:51+01"",""4.000"""
"5688715,""202035132"",""2024-10-02 22:29:51+01"",""3.960"""
"5688716,""202035132"",""2024-10-02 22:14:51+01"",""3.240"""
"5688717,""202035132"",""2024-10-02 21:59:51+01"",""3.280"""
"5688718,""202035132"",""2024-10-02 21:44:51+01"",""3.560"""
"5688719,""202035132"",""2024-10-02 21:29:51+01"",""4.000"""
"5688720,""202035132"",""2024-10-02 21:14:51+01"",""3.840"""
"5688721,""202035132"",""2024-10-02 20:59:51+01"",""4.440"""
"5688722,""202035132"",""2024-10-02 20:44:51+01"",""4.160"""
"5688723,""202035132"",""2024-10-02 20:29:51+01"",""3.800"""
"5688724,""202035132"",""2024-10-02 20:14:51+01"",""4.320"""
"5688725,""202035132"",""2024-10-02 19:59:51+01"",""4.480"""
"5688726,""202035132"",""2024-10-02 19:44:51+01"",""5.480"""
"5688727,""202035132"",""2024-10-02 19:29:51+01"",""6.400"""
"5688728,""202035132"",""2024-10-02 19:14:51+01"",""4.440"""
"5688729,""202035132"",""2024-10-02 18:59:51+01"",""6.280"""
"5688730,""202035132"",""2024-10-02 18:44:51+01"",""4.840"""
"5688731,""202035132"",""2024-10-02 18:29:51+01"",""4.360"""
"5688732,""202035132"",""2024-10-02 18:14:51+01"",""5.320"""
"5685251,""202035132"",""2024-10-02 17:59:51+01"",""5.600"""
"5685252,""202035132"",""2024-10-02 17:44:51+01"",""4.400"""
"5685253,""202035132"",""2024-10-02 17:29:51+01"",""4.760"""
"5685254,""202035132"",""2024-10-02 17:14:51+01"",""5.800"""
"5685255,""202035132"",""2024-10-02 16:59:51+01"",""4.760"""
"5685256,""202035132"",""2024-10-02 16:44:51+01"",""5.560"""
"5685257,""202035132"",""2024-10-02 16:29:51+01"",""5.960"""
"5685258,""202035132"",""2024-10-02 16:14:51+01"",""5.280"""
"5685259,""202035132"",""2024-10-02 15:59:51+01"",""4.480"""
"5685260,""202035132"",""2024-10-02 15:44:51+01"",""3.680"""
"5685261,""202035132"",""2024-10-02 15:29:51+01"",""3.600"""
"5685262,""202035132"",""2024-10-02 15:14:51+01"",""4.200"""
"5685263,""202035132"",""2024-10-02 14:59:51+01"",""4.160"""
"5685264,""202035132"",""2024-10-02 14:44:51+01"",""3.920"""
"5685265,""202035132"",""2024-10-02 14:29:51+01"",""3.440"""
"5685266,""202035132"",""2024-10-02 14:14:51+01"",""3.680"""
"5685267,""202035132"",""2024-10-02 13:59:51+01"",""4.120"""
"5685268,""202035132"",""2024-10-02 13:44:51+01"",""3.760"""
"5685269,""202035132"",""2024-10-02 13:29:51+01"",""4.320"""
"5685270,""202035132"",""2024-10-02 13:14:51+01"",""4.120"""
"5685271,""202035132"",""2024-10-02 12:59:51+01"",""4.840"""
"5685272,""202035132"",""2024-10-02 12:44:51+01"",""6.720"""
"5685273,""202035132"",""2024-10-02 12:29:51+01"",""6.280"""
"5685274,""202035132"",""2024-10-02 12:14:51+01"",""5.200"""
"5682662,""202035132"",""2024-10-02 11:59:52+01"",""6.720"""
"5682663,""202035132"",""2024-10-02 11:44:52+01"",""8.000"""
"5682664,""202035132"",""2024-10-02 11:29:52+01"",""5.400"""
"5682665,""202035132"",""2024-10-02 11:14:52+01"",""6.760"""
"5682666,""202035132"",""2024-10-02 10:59:52+01"",""6.280"""
"5682667,""202035132"",""2024-10-02 10:44:52+01"",""5.000"""
"5682668,""202035132"",""2024-10-02 10:29:52+01"",""5.200"""
"5682669,""202035132"",""2024-10-02 10:14:52+01"",""4.360"""
"5682670,""202035132"",""2024-10-02 09:59:52+01"",""5.760"""
"5682671,""202035132"",""2024-10-02 09:44:52+01"",""5.480"""
"5682672,""202035132"",""2024-10-02 09:29:52+01"",""4.840"""
"5682673,""202035132"",""2024-10-02 09:14:52+01"",""7.200"""
"5682674,""202035132"",""2024-10-02 08:59:52+01"",""4.480"""
"5682675,""202035132"",""2024-10-02 08:44:52+01"",""6.080"""
"5682676,""202035132"",""2024-10-02 08:29:52+01"",""5.600"""
"5682677,""202035132"",""2024-10-02 08:14:52+01"",""5.920"""
"5682678,""202035132"",""2024-10-02 07:59:52+01"",""5.400"""
"5682679,""202035132"",""2024-10-02 07:44:52+01"",""5.840"""
"5682680,""202035132"",""2024-10-02 07:29:52+01"",""5.840"""
"5682681,""202035132"",""2024-10-02 07:14:52+01"",""4.360"""
"5682682,""202035132"",""2024-10-02 06:59:52+01"",""4.080"""
"5682683,""202035132"",""2024-10-02 06:44:52+01"",""3.840"""
"5682684,""202035132"",""2024-10-02 06:29:52+01"",""3.200"""
"5682685,""202035132"",""2024-10-02 06:14:52+01"",""2.320"""
"5678771,""202035132"",""2024-10-02 05:59:52+01"",""1.080"""
"5678772,""202035132"",""2024-10-02 05:44:52+01"",""1.000"""
"5678773,""202035132"",""2024-10-02 05:29:52+01"",""0.800"""
"5678774,""202035132"",""2024-10-02 05:14:52+01"",""0.840"""
"5678775,""202035132"",""2024-10-02 04:59:52+01"",""0.880"""
"5678776,""202035132"",""2024-10-02 04:44:52+01"",""0.800"""
"5678777,""202035132"",""2024-10-02 04:29:52+01"",""0.840"""
"5678778,""202035132"",""2024-10-02 04:14:52+01"",""0.760"""
