"Time","Distribuído"
2024-10-28 07:03:20,45.00
2024-10-28 07:07:50,51.50
2024-10-28 07:12:25,60.10
2024-10-28 07:12:25,60.10
2024-10-28 07:16:53,60.10
2024-10-28 07:22:33,72.10
2024-10-28 07:27:29,72.10
2024-10-28 07:27:29,72.10
2024-10-28 07:31:33,72.20
2024-10-28 07:36:04,60.10
2024-10-28 07:40:36,72.20
2024-10-28 07:40:36,72.20
2024-10-28 07:45:11,72.20
2024-10-28 07:45:11,72.20
2024-10-28 07:49:45,60.10
2024-10-28 07:54:13,72.20
2024-10-28 07:54:13,72.20
2024-10-28 07:58:50,60.10
2024-10-28 07:58:50,60.10
2024-10-28 08:03:19,72.20
2024-10-28 08:07:48,60.10
2024-10-28 08:12:26,60.10
2024-10-28 08:12:26,60.10
2024-10-28 08:16:58,60.10
2024-10-28 08:21:23,60.10
2024-10-28 08:25:56,60.10
2024-10-28 08:25:56,60.10
2024-10-28 08:30:34,60.20
2024-10-28 08:30:34,60.20
2024-10-28 08:35:05,60.10
2024-10-28 08:39:43,60.10
2024-10-28 08:39:43,60.10
2024-10-28 08:44:08,72.10
2024-10-28 08:44:08,72.10
2024-10-28 08:48:43,60.10
2024-10-28 08:53:15,60.10
2024-10-28 08:57:46,51.50
2024-10-28 08:57:46,51.50
2024-10-28 09:02:52,51.50
2024-10-28 09:08:08,51.50
2024-10-28 09:13:25,51.50
2024-10-28 09:13:25,51.50
2024-10-28 09:17:53,51.50
2024-10-28 09:22:22,51.50
2024-10-28 09:26:56,40.00
2024-10-28 09:26:56,40.00
2024-10-28 09:31:52,40.00
2024-10-28 09:37:17,51.50
2024-10-28 09:42:35,51.50
2024-10-28 09:42:35,51.50
2024-10-28 09:47:05,60.10
2024-10-28 09:51:31,51.50
2024-10-28 09:56:03,51.50
2024-10-28 09:56:03,51.50
2024-10-28 10:01:08,51.50
2024-10-28 10:06:26,40.00
2024-10-28 10:11:46,40.00
2024-10-28 10:11:46,40.00
2024-10-28 10:17:05,40.00
2024-10-28 10:21:37,40.00
2024-10-28 10:26:03,40.00
2024-10-28 10:26:03,40.00
2024-10-28 10:30:30,40.00
2024-10-28 10:30:30,40.00
2024-10-28 10:35:42,40.00
2024-10-28 10:40:51,40.00
2024-10-28 10:40:51,40.00
2024-10-28 10:45:28,45.00
2024-10-28 10:45:28,45.00
2024-10-28 10:50:03,40.00
2024-10-28 10:54:37,36.00
2024-10-28 10:54:37,36.00
2024-10-28 10:59:06,36.00
2024-10-28 10:59:06,36.00
2024-10-28 11:03:50,45.00
2024-10-28 11:08:17,36.00
2024-10-28 11:12:52,45.00
2024-10-28 11:12:52,45.00
2024-10-28 11:17:44,45.00
2024-10-28 11:22:14,36.00
2024-10-28 11:26:48,45.00
2024-10-28 11:26:48,45.00
2024-10-28 11:31:20,36.00
2024-10-28 11:35:55,36.00
2024-10-28 11:40:43,36.00
2024-10-28 11:40:43,36.00
2024-10-28 11:45:16,36.00
2024-10-28 11:45:16,36.00
2024-10-28 11:49:52,36.00
2024-10-28 11:54:18,45.00
2024-10-28 11:54:18,45.00
2024-10-28 11:58:49,45.10
2024-10-28 11:58:49,45.10
2024-10-28 12:03:19,45.00
2024-10-28 12:07:51,45.00
2024-10-28 12:13:14,36.00
2024-10-28 12:13:14,36.00
2024-10-28 12:17:48,45.10
2024-10-28 12:22:15,40.00
2024-10-28 12:27:44,51.50
2024-10-28 12:27:44,51.50
2024-10-28 12:32:21,40.00
2024-10-28 12:36:51,51.50
2024-10-28 12:41:36,40.00
2024-10-28 12:41:36,40.00
2024-10-28 12:46:06,40.00
2024-10-28 12:50:34,51.50
2024-10-28 12:55:25,40.00
2024-10-28 12:55:25,40.00
2024-10-28 13:00:01,40.00
2024-10-28 13:00:01,40.00
2024-10-28 13:04:56,40.00
2024-10-28 13:09:24,40.00
2024-10-28 13:09:24,40.00
2024-10-28 13:13:56,51.50
2024-10-28 13:13:56,51.50
2024-10-28 13:18:37,51.50
2024-10-28 13:23:09,40.00
2024-10-28 13:27:35,51.50
2024-10-28 13:27:35,51.50
2024-10-28 13:32:09,51.50
2024-10-28 13:36:35,51.50
2024-10-28 13:40:59,51.50
2024-10-28 13:40:59,51.50
2024-10-28 13:45:28,40.00
2024-10-28 13:45:28,40.00
2024-10-28 13:49:53,51.50
2024-10-28 13:54:28,51.50
2024-10-28 13:54:28,51.50
2024-10-28 13:59:15,51.50
2024-10-28 13:59:15,51.50
2024-10-28 14:03:46,40.00
2024-10-28 14:03:46,40.00
2024-10-28 14:08:25,36.00
2024-10-28 14:08:25,36.00
2024-10-28 14:12:53,45.10
2024-10-28 14:12:53,45.10
2024-10-28 14:12:53,45.10
2024-10-28 14:17:25,45.00
2024-10-28 14:17:25,45.00
2024-10-28 14:21:52,45.00
2024-10-28 14:21:52,45.00
2024-10-28 14:26:23,36.00
2024-10-28 14:26:23,36.00
2024-10-28 14:26:23,36.00
2024-10-28 14:31:50,40.00
2024-10-28 14:31:50,40.00
2024-10-28 14:36:34,36.00
2024-10-28 14:36:34,36.00
2024-10-28 14:41:04,36.00
2024-10-28 14:41:04,36.00
2024-10-28 14:46:30,40.00
2024-10-28 14:46:30,40.00
2024-10-28 14:51:47,40.00
2024-10-28 14:51:47,40.00
2024-10-28 14:56:18,36.00
2024-10-28 14:56:18,36.00
2024-10-28 15:01:28,36.00
2024-10-28 15:01:28,36.00
2024-10-28 15:06:47,36.00
2024-10-28 15:06:47,36.00
2024-10-28 15:11:16,32.70
2024-10-28 15:11:16,32.70
2024-10-28 15:16:37,36.00
2024-10-28 15:16:37,36.00
2024-10-28 15:21:12,36.00
2024-10-28 15:21:12,36.00
2024-10-28 15:25:44,36.00
2024-10-28 15:25:44,36.00
2024-10-28 15:31:13,36.00
2024-10-28 15:31:13,36.00
2024-10-28 15:35:46,27.70
2024-10-28 15:35:46,27.70
2024-10-28 15:40:26,36.00
2024-10-28 15:40:26,36.00
2024-10-28 15:45:51,36.00
2024-10-28 15:45:51,36.00
2024-10-28 15:50:29,27.70
2024-10-28 15:50:29,27.70
2024-10-28 15:54:59,36.00
2024-10-28 15:54:59,36.00
2024-10-28 16:00:07,36.00
2024-10-28 16:00:07,36.00
2024-10-28 16:04:43,36.00
2024-10-28 16:04:43,36.00
2024-10-28 16:09:14,36.00
2024-10-28 16:09:14,36.00
2024-10-28 16:13:47,36.00
2024-10-28 16:13:47,36.00
2024-10-28 16:18:17,40.00
2024-10-28 16:18:17,40.00
2024-10-28 16:23:19,30.00
2024-10-28 16:23:19,30.00
2024-10-28 16:27:56,30.00
2024-10-28 16:27:56,30.00
2024-10-28 16:32:27,40.00
2024-10-28 16:32:27,40.00
2024-10-28 16:36:56,30.00
2024-10-28 16:36:56,30.00
2024-10-28 16:41:27,36.00
2024-10-28 16:41:27,36.00
