Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-25 16:45:00,3.2,1,25,3,16,45
2024-01-25 17:00:00,3.2,1,25,3,17,0
2024-01-25 17:15:00,3.2,1,25,3,17,15
2024-01-25 17:30:00,3.2,1,25,3,17,30
2024-01-25 17:45:00,2.8,1,25,3,17,45
2024-01-25 18:00:00,3.2,1,25,3,18,0
2024-01-25 18:15:00,3.2,1,25,3,18,15
2024-01-25 18:30:00,4.4,1,25,3,18,30
2024-01-25 18:45:00,3.2,1,25,3,18,45
2024-01-25 19:00:00,4.0,1,25,3,19,0
2024-01-25 19:15:00,4.0,1,25,3,19,15
2024-01-25 19:30:00,4.8,1,25,3,19,30
2024-01-25 19:45:00,4.4,1,25,3,19,45
2024-01-25 20:00:00,4.8,1,25,3,20,0
2024-01-25 20:15:00,5.6,1,25,3,20,15
2024-01-25 20:30:00,5.2,1,25,3,20,30
2024-01-25 20:45:00,4.8,1,25,3,20,45
2024-01-25 21:00:00,4.4,1,25,3,21,0
2024-01-25 21:15:00,3.6,1,25,3,21,15
2024-01-25 21:30:00,4.8,1,25,3,21,30
2024-01-25 21:45:00,4.4,1,25,3,21,45
2024-01-25 22:00:00,3.6,1,25,3,22,0
2024-01-25 22:15:00,3.2,1,25,3,22,15
2024-01-25 22:30:00,2.8,1,25,3,22,30
2024-01-25 22:45:00,2.8,1,25,3,22,45
2024-01-25 23:00:00,2.8,1,25,3,23,0
2024-01-25 23:15:00,2.4,1,25,3,23,15
2024-01-25 23:30:00,2.4,1,25,3,23,30
2024-01-25 23:45:00,2.8,1,25,3,23,45
2024-01-26 00:00:00,1.6,1,26,4,0,0
2024-01-26 00:15:00,2.0,1,26,4,0,15
2024-01-26 00:30:00,1.6,1,26,4,0,30
2024-01-26 00:45:00,2.0,1,26,4,0,45
2024-01-26 01:00:00,1.6,1,26,4,1,0
2024-01-26 01:15:00,1.6,1,26,4,1,15
2024-01-26 01:30:00,0.8,1,26,4,1,30
2024-01-26 01:45:00,1.6,1,26,4,1,45
2024-01-26 02:00:00,1.2,1,26,4,2,0
2024-01-26 02:15:00,1.2,1,26,4,2,15
2024-01-26 02:30:00,1.2,1,26,4,2,30
2024-01-26 02:45:00,1.2,1,26,4,2,45
2024-01-26 03:00:00,1.2,1,26,4,3,0
2024-01-26 03:15:00,1.2,1,26,4,3,15
2024-01-26 03:30:00,0.8,1,26,4,3,30
2024-01-26 03:45:00,1.2,1,26,4,3,45
2024-01-26 04:00:00,1.2,1,26,4,4,0
2024-01-26 04:15:00,0.8,1,26,4,4,15
2024-01-26 04:30:00,1.2,1,26,4,4,30
2024-01-26 04:45:00,1.2,1,26,4,4,45
2024-01-26 05:00:00,1.2,1,26,4,5,0
2024-01-26 05:15:00,1.2,1,26,4,5,15
2024-01-26 05:30:00,1.6,1,26,4,5,30
2024-01-26 05:45:00,2.4,1,26,4,5,45
2024-01-26 06:00:00,2.0,1,26,4,6,0
2024-01-26 06:15:00,2.0,1,26,4,6,15
2024-01-26 06:30:00,2.0,1,26,4,6,30
2024-01-26 06:45:00,2.0,1,26,4,6,45
2024-01-26 07:00:00,4.0,1,26,4,7,0
2024-01-26 07:15:00,5.2,1,26,4,7,15
2024-01-26 07:30:00,5.6,1,26,4,7,30
2024-01-26 07:45:00,5.6,1,26,4,7,45
2024-01-26 08:00:00,5.6,1,26,4,8,0
2024-01-26 08:15:00,6.0,1,26,4,8,15
2024-01-26 08:30:00,6.8,1,26,4,8,30
2024-01-26 08:45:00,6.4,1,26,4,8,45
2024-01-26 09:00:00,6.0,1,26,4,9,0
2024-01-26 09:15:00,4.4,1,26,4,9,15
2024-01-26 09:30:00,4.4,1,26,4,9,30
2024-01-26 09:45:00,4.8,1,26,4,9,45
2024-01-26 10:00:00,5.2,1,26,4,10,0
2024-01-26 10:15:00,4.8,1,26,4,10,15
2024-01-26 10:30:00,4.8,1,26,4,10,30
2024-01-26 10:45:00,4.0,1,26,4,10,45
2024-01-26 11:00:00,4.0,1,26,4,11,0
2024-01-26 11:15:00,3.2,1,26,4,11,15
2024-01-26 11:30:00,2.8,1,26,4,11,30
2024-01-26 11:45:00,4.8,1,26,4,11,45
2024-01-26 12:00:00,4.4,1,26,4,12,0
2024-01-26 12:15:00,3.6,1,26,4,12,15
2024-01-26 12:30:00,4.4,1,26,4,12,30
2024-01-26 12:45:00,3.6,1,26,4,12,45
2024-01-26 13:00:00,4.0,1,26,4,13,0
2024-01-26 13:15:00,3.2,1,26,4,13,15
2024-01-26 13:30:00,5.6,1,26,4,13,30
2024-01-26 13:45:00,4.8,1,26,4,13,45
2024-01-26 14:00:00,4.4,1,26,4,14,0
2024-01-26 14:15:00,4.4,1,26,4,14,15
2024-01-26 14:30:00,4.4,1,26,4,14,30
2024-01-26 14:45:00,4.0,1,26,4,14,45
2024-01-26 15:00:00,3.2,1,26,4,15,0
2024-01-26 15:15:00,3.2,1,26,4,15,15
2024-01-26 15:30:00,3.2,1,26,4,15,30
2024-01-26 15:45:00,2.8,1,26,4,15,45
2024-01-26 16:00:00,2.8,1,26,4,16,0
2024-01-26 16:15:00,2.8,1,26,4,16,15
2024-01-26 16:30:00,2.8,1,26,4,16,30
2024-01-26 16:45:00,3.2,1,26,4,16,45
2024-01-26 17:00:00,2.8,1,26,4,17,0
2024-01-26 17:15:00,3.2,1,26,4,17,15
2024-01-26 17:30:00,3.2,1,26,4,17,30
2024-01-26 17:45:00,2.8,1,26,4,17,45
2024-01-26 18:00:00,3.2,1,26,4,18,0
2024-01-26 18:15:00,3.2,1,26,4,18,15
2024-01-26 18:30:00,2.8,1,26,4,18,30
2024-01-26 18:45:00,3.6,1,26,4,18,45
2024-01-26 19:00:00,3.2,1,26,4,19,0
2024-01-26 19:15:00,4.4,1,26,4,19,15
2024-01-26 19:30:00,4.8,1,26,4,19,30
2024-01-26 19:45:00,4.8,1,26,4,19,45
2024-01-26 20:00:00,4.4,1,26,4,20,0
2024-01-26 20:15:00,3.2,1,26,4,20,15
2024-01-26 20:30:00,4.4,1,26,4,20,30
2024-01-26 20:45:00,4.4,1,26,4,20,45
2024-01-26 21:00:00,4.0,1,26,4,21,0
2024-01-26 21:15:00,4.0,1,26,4,21,15
2024-01-26 21:30:00,3.6,1,26,4,21,30
2024-01-26 21:45:00,3.6,1,26,4,21,45
2024-01-26 22:00:00,3.6,1,26,4,22,0
